id,name,link
35,걸스데이,http://people.search.naver.com/search.naver?where=nexearch&sm=tab_ppn&query=%EA%B1%B8%EC%8A%A4%EB%8D%B0%EC%9D%B4&os=185679&ie=utf8&key=PeopleService
36,박재범,http://people.search.naver.com/search.naver?where=nexearch&sm=tab_ppn&query=%EB%B0%95%EC%9E%AC%EB%B2%94&os=158420&ie=utf8&key=PeopleService
37,여자친구,http://people.search.naver.com/search.naver?where=nexearch&sm=tab_ppn&query=%EC%97%AC%EC%9E%90%EC%B9%9C%EA%B5%AC&os=2304866&ie=utf8&key=PeopleService
38,마마무,http://people.search.naver.com/search.naver?where=nexearch&sm=tab_ppn&query=%EB%A7%88%EB%A7%88%EB%AC%B4&os=1725756&ie=utf8&key=PeopleService
39,한동근,http://people.search.naver.com/search.naver?where=nexearch&sm=tab_ppn&query=%ED%95%9C%EB%8F%99%EA%B7%BC&os=528331&ie=utf8&key=PeopleService
40,BLACKPINK,http://people.search.naver.com/search.naver?where=nexearch&sm=tab_ppn&query=blackpink&os=3750644&ie=utf8&key=PeopleService
41,EXID,http://people.search.naver.com/search.naver?where=nexearch&sm=tab_ppn&query=exid&os=285811&ie=utf8&key=PeopleService
42,Zion.T,http://people.search.naver.com/search.naver?where=nexearch&sm=tab_ppn&query=%EC%9E%90%EC%9D%B4%EC%96%B8%ED%8B%B0&os=262893&ie=utf8&key=PeopleService
43,에디킴,http://people.search.naver.com/search.naver?where=nexearch&sm=tab_ppn&query=%EC%97%90%EB%94%94%ED%82%B4&os=483071&ie=utf8&key=PeopleService
44,헤이즈 (Heize),http://people.search.naver.com/search.naver?where=nexearch&sm=tab_ppn&query=%ED%97%A4%EC%9D%B4%EC%A6%88&os=2916098&ie=utf8&key=PeopleService
45,임창정,http://people.search.naver.com/search.naver?where=nexearch&sm=tab_ppn&query=%EC%9E%84%EC%B0%BD%EC%A0%95&os=94907&ie=utf8&key=PeopleService
46,엠씨더맥스,http://people.search.naver.com/search.naver?where=nexearch&sm=tab_ppn&query=%EC%97%A0%EC%94%A8%EB%8D%94%EB%A7%A5%EC%8A%A4&os=96343&ie=utf8&key=PeopleService
47,어반저카파,http://people.search.naver.com/search.naver?where=nexearch&sm=tab_ppn&query=%EC%96%B4%EB%B0%98%EC%9E%90%EC%B9%B4%ED%8C%8C&os=174713&ie=utf8&key=PeopleService
48,정준일,http://people.search.naver.com/search.naver?where=nexearch&sm=tab_ppn&query=%EC%A0%95%EC%A4%80%EC%9D%BC&os=163383&ie=utf8&key=PeopleService
49,박효신,http://people.search.naver.com/search.naver?where=nexearch&sm=tab_ppn&query=%EB%B0%95%ED%9A%A8%EC%8B%A0&os=94380&ie=utf8&key=PeopleService
50,울랄라세션,http://people.search.naver.com/search.naver?where=nexearch&sm=tab_ppn&query=%EC%9A%B8%EB%9E%84%EB%9D%BC%EC%84%B8%EC%85%98&os=260294&ie=utf8&key=PeopleService
51,비투비,http://people.search.naver.com/search.naver?where=nexearch&sm=tab_ppn&query=%EB%B9%84%ED%88%AC%EB%B9%84&os=314710&ie=utf8&key=PeopleService
